평점,댓글
5,운전면허 시험 검사 바로바로 해주시고 좋았어요~!
1,공무원 신체검사  결과서 받는데 40분이 넘게 걸리는 이유는? 내가 먼저왔느데 왜 다른 사람이 먼저 하는지... 알수없음.....뭐지 사람도 없었는데 밤새는 줄... 이럴거면 밥먹고 왔지 40분 동안 의사를 보지못함. 아.. 결국 50분 기다리고 2분 설명 끝 시간... 진짜 약속있었으면 다 꼬였을 뻔 뒤에 일정 없어서 다행이지... 누가 검사확인서 받는데...
1,ㅋㅋ후기 삭제하내욤 저 불쾌해요.  공감도 받았는데 ^^… 힝 ㅠ  운전면허 검사비 비. 싸. 요. 
2,목이 아파서 이비인후과를 찾다가 후기가 좋아서 방문했는데 대충 쓰윽 보시더니 약 처방만 해주고 끝났어요ㅠㅠ 목이 아픈거에도 인후염 후두염 기관지염 등 여러 이유가 있을텐데 목이 왜 아픈건지에 대한 설명은 일체 없이 약 처방만 해주어서 다소 아쉬웠습니다
5,친절하게  잘설명해주세요~
5,면역력이 떨어져 중이염 증상이 나타나 방문했어요 역시나 친절한 진료 감사합니다
5,설명도 잘해주시고 시설도 깨끗해서 좋았습니다~
5,비염때문에 방문했는데 원장님께서 상세하게 봐주셔서 많이 나아졌습니다.
5,시설도 깔끔하고 편안하게 해쥬셔서 너무 감사했습니다
5,시설도 깔끔하고 선생님들이 진짜 친절해요!! 이해 안가는 부분도 이해 갈때까지 자세하게 설명해주세요!
5,면역력이 떨어져 중이염 증상이 나타나 방문했어요 역시나 친절한 진료 감사합니다
5,설명도 잘해주시고 시설도 깨끗해서 좋았습니다~
5,비염때문에 방문했는데 원장님께서 상세하게 봐주셔서 많이 나아졌습니다.
5,시설도 깔끔하고 편안하게 해쥬셔서 너무 감사했습니다
5,시설도 깔끔하고 선생님들이 진짜 친절해요!! 이해 안가는 부분도 이해 갈때까지 자세하게 설명해주세요!
5,운전면허 시험 검사 바로바로 해주시고 좋았어요~!
1,공무원 신체검사  결과서 받는데 40분이 넘게 걸리는 이유는? 내가 먼저왔느데 왜 다른 사람이 먼저 하는지... 알수없음.....뭐지 사람도 없었는데 밤새는 줄... 이럴거면 밥먹고 왔지 40분 동안 의사를 보지못함. 아.. 결국 50분 기다리고 2분 설명 끝 시간... 진짜 약속있었으면 다 꼬였을 뻔 뒤에 일정 없어서 다행이지... 누가 검사확인서 받는데...
1,ㅋㅋ후기 삭제하내욤 저 불쾌해요.  공감도 받았는데 ^^… 힝 ㅠ  운전면허 검사비 비. 싸. 요. 
2,목이 아파서 이비인후과를 찾다가 후기가 좋아서 방문했는데 대충 쓰윽 보시더니 약 처방만 해주고 끝났어요ㅠㅠ 목이 아픈거에도 인후염 후두염 기관지염 등 여러 이유가 있을텐데 목이 왜 아픈건지에 대한 설명은 일체 없이 약 처방만 해주어서 다소 아쉬웠습니다
5,친절하게  잘설명해주세요~
5,운전면허 시험 검사 바로바로 해주시고 좋았어요~!
1,공무원 신체검사  결과서 받는데 40분이 넘게 걸리는 이유는? 내가 먼저왔느데 왜 다른 사람이 먼저 하는지... 알수없음.....뭐지 사람도 없었는데 밤새는 줄... 이럴거면 밥먹고 왔지 40분 동안 의사를 보지못함. 아.. 결국 50분 기다리고 2분 설명 끝 시간... 진짜 약속있었으면 다 꼬였을 뻔 뒤에 일정 없어서 다행이지... 누가 검사확인서 받는데...
1,ㅋㅋ후기 삭제하내욤 저 불쾌해요.  공감도 받았는데 ^^… 힝 ㅠ  운전면허 검사비 비. 싸. 요. 
2,목이 아파서 이비인후과를 찾다가 후기가 좋아서 방문했는데 대충 쓰윽 보시더니 약 처방만 해주고 끝났어요ㅠㅠ 목이 아픈거에도 인후염 후두염 기관지염 등 여러 이유가 있을텐데 목이 왜 아픈건지에 대한 설명은 일체 없이 약 처방만 해주어서 다소 아쉬웠습니다
5,친절하게  잘설명해주세요~
5,면역력이 떨어져 중이염 증상이 나타나 방문했어요 역시나 친절한 진료 감사합니다
5,설명도 잘해주시고 시설도 깨끗해서 좋았습니다~
5,비염때문에 방문했는데 원장님께서 상세하게 봐주셔서 많이 나아졌습니다.
5,시설도 깔끔하고 편안하게 해쥬셔서 너무 감사했습니다
5,시설도 깔끔하고 선생님들이 진짜 친절해요!! 이해 안가는 부분도 이해 갈때까지 자세하게 설명해주세요!
5,직원분들도 친절하고 원장님도 꼼꼼하게 봐주셔서 좋았어요
5,특이 직원들이 친절해서 자주 방문하고 있요
5,자다가 날파리인지 ㅠㅠ무슨 벌레가 귀에 들어가서 응급실 갈뻔하다가 출근하는길에 들렀어요. 나온건지 아예 들어간건지 흔적도 없고 상처도 없다고  소독해주시고 열쬐는 기계 하고 왔네요. 놀란마음에 갔는데 잘봐주셔서 후기남기러왔는데 나쁜글 많아 깜놀ㅠ
5,대기가 많아서 진료시간 길지는 않아도 금방금방 꼼꼼히 봐주셨어요.
1,"평점 조작은 표시광고법위반, 업무방해 등으로 광고업체, ID 소유자, 병원 대표자 등 모두 형사 처벌이 될 수 있는 사안이나, ID를 특정해서 고발을 하지 않는 이상 수사를 하지 않기 때문에 이 병원과 같이 그런 곳이 매우 많음. 그런 곳의 대부분은 부정 평가를 기입하기만 하면 권리침해라고 신고하며 갑질을 하는데, 권리침해라고 신고하고 평가 조작하기는 쉬운..."
5,직원분들도 친절하고 원장님도 꼼꼼하게 봐주셔서 좋았어요
5,특이 직원들이 친절해서 자주 방문하고 있요
5,자다가 날파리인지 ㅠㅠ무슨 벌레가 귀에 들어가서 응급실 갈뻔하다가 출근하는길에 들렀어요. 나온건지 아예 들어간건지 흔적도 없고 상처도 없다고  소독해주시고 열쬐는 기계 하고 왔네요. 놀란마음에 갔는데 잘봐주셔서 후기남기러왔는데 나쁜글 많아 깜놀ㅠ
5,대기가 많아서 진료시간 길지는 않아도 금방금방 꼼꼼히 봐주셨어요.
1,"평점 조작은 표시광고법위반, 업무방해 등으로 광고업체, ID 소유자, 병원 대표자 등 모두 형사 처벌이 될 수 있는 사안이나, ID를 특정해서 고발을 하지 않는 이상 수사를 하지 않기 때문에 이 병원과 같이 그런 곳이 매우 많음. 그런 곳의 대부분은 부정 평가를 기입하기만 하면 권리침해라고 신고하며 갑질을 하는데, 권리침해라고 신고하고 평가 조작하기는 쉬운..."
1,병원이니 코로나때문에 더 조심해야할텐데 대기실 간격유지 하나도 안하고 열체크도 없이 그냥 다 입장 ㅋㅋㅋㅋㅋㅋ가관입니다
1,9시 반이 넘어도 의사쌤 안오심...언제 오세요?
5,여러번 갔는데 항상 친절하게 잘 봐주셨어요.
5,원장님 친절하게 꼼꼼하게 봐주시다보니 대기시간이 길었지만 만족스러웠습니다~
4,병원을 워낙 많이다니는 편이라 그런지 몰라도  간호사 친절한편... 의사선생님이 꼼꼼하셔 자주가요
5,"이 병원이 환자 치료를 잘해서 소문이 나기는 했더라고요. 내가 갔을 때는 별로 기다리지 않았는데 가끔 연휴지나거나 감기 심하게 돌 경우에는 대기환자가 많기는 하던데, 소문난 좋은 진료 받으려면 그 정도야 뭐 스마트폰 보면서 기다리는게 대수인가요"
1,댓글들 왜 신고하시나요?? 좋은소리만 듣고싶으신가요? 서비스 개선 하셔야죠.. 
5,"이번에 코쪽이 안좋아서 수술받았는데, 원장님께서 꼼꼼하게 잘 봐주셔서 너무 고마웠어요~ 다음주에 검진받으러 갈께요 ㅎ"
3,보통이요. 
1,여자 의사분 (진료실1) 빼고는 다 최악.   그 남자 의사분. 데스크직원 들 죄다 제대로 하는 사람없음.   밑에 약국도 최악이라 그 의사분 진찰 하나 믿고 간건데  다시는 안갈생각. 
5,"이 병원이 환자 치료를 잘해서 소문이 나기는 했더라고요. 내가 갔을 때는 별로 기다리지 않았는데 가끔 연휴지나거나 감기 심하게 돌 경우에는 대기환자가 많기는 하던데, 소문난 좋은 진료 받으려면 그 정도야 뭐 스마트폰 보면서 기다리는게 대수인가요"
1,댓글들 왜 신고하시나요?? 좋은소리만 듣고싶으신가요? 서비스 개선 하셔야죠.. 
5,"이번에 코쪽이 안좋아서 수술받았는데, 원장님께서 꼼꼼하게 잘 봐주셔서 너무 고마웠어요~ 다음주에 검진받으러 갈께요 ㅎ"
3,보통이요. 
1,여자 의사분 (진료실1) 빼고는 다 최악.   그 남자 의사분. 데스크직원 들 죄다 제대로 하는 사람없음.   밑에 약국도 최악이라 그 의사분 진찰 하나 믿고 간건데  다시는 안갈생각. 
1,"접수하는 머리 긴여자 분은 일하러 나와서 뭐가 그렇게 짜증스러운건지 병원이 여기 하나도 아닌데, 간호사 선생님때문에 서러워서 진료도 못받고 나가요"
1,진짜 너무 불친절하고 기본적인 인성이 의심스런 ...  기술인이네요
1,카운터에 사람이 없음 코디들 일을 하는건지... 왜 갈때마다 카운터에 사람 없냐고요 원래 병원 원무쪽 비우면 안되는거 아닙니까 짜증나서 못 가겠네 의사쌤은 괜찮은데
5,대기 인원이 많아 힘들었지만 의사 선생님께서는 명의이십니다.
5," 아침에 자가키트 양성이 떠서 영업 시작 30분 전, 이 병원에 1등으로 도착했습니다. 시간이 지나 엘리베이터에서 어떤 동네 아저씨 같은 분이 큰 자전거를 끌고 내리셨습니다. 먼저 인사하시길래 누구지 했는데 이 병원 원장님이시더라구요. 복도 의자 두번째 칸에 앉아 있었는데, 순서 때문에 문제 생길 수도 있으니 첫번째 칸에 앉으라고 친절하게 웃으시면서 말씀해..."
5,"가끔 가는 곳이에요. 이상한 환자들  참 많은데, 누구에게나 성심성의껏 진료하려고 하는 의사에요. 갈때마다 정성스러운 진료에 만족스럽기도 하고요."
1,비대면 진료 불친절합니다
5,신속항원검사때문에 무진장 바쁘실텐데 친절하셔서 좋았습니다.
5,"의사 선생님 친절하셔서 너무 좋았어요. 저는 사실 의학적인 걸 잘 몰라서 설명해주셔도 반 밖에 못 알아 듣는데, 그래두 아픈 이유를 알려주셔서... 앞으로 제가 뭘 하면 안되는지, 왜 하면 안되는지를 알 수 있게 되었어요. 참의사 이십니다. 감사합니다. 귀 막 후비는 거 이제 정말루 안할게용...!"
4,ㅋㅋㅋ진료 대기하며 네이버 리뷰 보는데 넘 잼남ㅋㅋ 여자 간호사 별로라고 해서 ㅋㅋ궁굼했는데 젊은 사람이 좀 그런편이였음 ㅋ 의사선생님 말 너무 빠르고 많으심 ㅋㅋ 
5,병원 전체적으로깨끗한느낌 간호사들친절해서 좋았음
3,어머니 이석증치료때문에 갔습니다. 선생님 친절하게 다 설명해주시고 정말 킹왕짱이십니다. 그런데 간호사들은 왜 그리 불친절하고 퉁명스러운지 다시는 가고싶지 않습니다. 선생님이 그런 간호사들과 일하시면서 병원 이미지가 안 좋아지실까봐 걱정이 됩니다;; 본인들보다 나이가 많은 환자와 보호자를  손님이 아니라 귀찮은 상대로 여기는 듯했습니다. 선생님은 다시 뵙고싶...
5,아침에 갔는데 진찰 너무 친절하게 잘 해주섰어요. 아픈 곳 더 없나 꼼꼼하게 물어봐주시구 기분 좋았어요
5,동네 병원에서  10일정도 치료받다가  차도가 없어 왔는데 젊은 남자의사선생님 실력이 보통이 아닌거 같네요.  상냥하게 긴~설명도 듣고 치료 잘 받고 왔네요!!! 
5,꼼꼼히 진료 보셔서 대기시간이 꽤 길어요. 어지러움증이 심해서 방문했는데 이석증 진단검사 받고 바료 치료해주셨어요. 울렁증에 어지럼증 심했는데 바로 좋아졌어요. 쌤 명의세요^^
5,꼼꼼히 봐주시고 만족해요 
5,여기 의사선생님 정말 진료 잘 봐주시고 친절하게 눈높이맞춰서 설명해주세요
5,"8월 말에 백신1차맞으러갔는데 스트리트파이터 반팔을 입고 있었어서 의사선생님이 그걸 보시고 주캐릭 뭐냐고 아는척해주시길래 뭔가 기분 좋았는데, 2차맞으러왔을때 로비에서 웬 드뷔시 프렐류드 불꽃이 나오고있어서 아니 이곡이 병원에서 나온다고...? 싶어서 너무 신기해서 기분이 좋았습니다. 클라이막스 부분에서 어택을 강하게 하지 않고 하강하는 연주를 개인적으로 ..."
5,Good doctor. Right diagnosis and very good english!!
3,의사선생님은 친절한데 간호사 완전 불친절
5,의사쌤 너무 친절해써염
1,별로입니다
5,"물도 못 삼킬 정도로 목이 아파서 갔는데, 너무너무 친절하셔요. 치료도 너무 깔끔하게 해주셨고, 한 번만 먹어도 바로 호전되실 수 있게 약 처방해주시겠다 했는데, 그 전까지 어떤 약을 써도 낫질 않았던 목이 바로 많이 괜찮아졌습니다."
1,"평이 왜 다 좋은 것인지 정말 이해가 안됩니다. 진단을 제대로 내리지 못하시고 이랬다 저랬다 하시구요, 환자가 호소하는 증상을 심각하게 생각 안 하고 ‘그럴 리 없다’라는 말을 하는 분입니다. 결국 다른 병원에 갔는데 여기서 진단받은 병이 아니라는 결론을 얻었습니다^^ 웬만하면 리뷰 안 남기는데 이 병원은 정말 다시는 가고 싶지 않습니다."
3,의사선생님은 친절한데 간호사 완전 불친절
5,의사쌤 너무 친절해써염
1,별로입니다
5,"물도 못 삼킬 정도로 목이 아파서 갔는데, 너무너무 친절하셔요. 치료도 너무 깔끔하게 해주셨고, 한 번만 먹어도 바로 호전되실 수 있게 약 처방해주시겠다 했는데, 그 전까지 어떤 약을 써도 낫질 않았던 목이 바로 많이 괜찮아졌습니다."
1,"평이 왜 다 좋은 것인지 정말 이해가 안됩니다. 진단을 제대로 내리지 못하시고 이랬다 저랬다 하시구요, 환자가 호소하는 증상을 심각하게 생각 안 하고 ‘그럴 리 없다’라는 말을 하는 분입니다. 결국 다른 병원에 갔는데 여기서 진단받은 병이 아니라는 결론을 얻었습니다^^ 웬만하면 리뷰 안 남기는데 이 병원은 정말 다시는 가고 싶지 않습니다."
5,꼼꼼히 진료 보셔서 대기시간이 꽤 길어요. 어지러움증이 심해서 방문했는데 이석증 진단검사 받고 바료 치료해주셨어요. 울렁증에 어지럼증 심했는데 바로 좋아졌어요. 쌤 명의세요^^
5,꼼꼼히 봐주시고 만족해요 
5,여기 의사선생님 정말 진료 잘 봐주시고 친절하게 눈높이맞춰서 설명해주세요
5,"8월 말에 백신1차맞으러갔는데 스트리트파이터 반팔을 입고 있었어서 의사선생님이 그걸 보시고 주캐릭 뭐냐고 아는척해주시길래 뭔가 기분 좋았는데, 2차맞으러왔을때 로비에서 웬 드뷔시 프렐류드 불꽃이 나오고있어서 아니 이곡이 병원에서 나온다고...? 싶어서 너무 신기해서 기분이 좋았습니다. 클라이막스 부분에서 어택을 강하게 하지 않고 하강하는 연주를 개인적으로 ..."
5,Good doctor. Right diagnosis and very good english!!
5,꼼꼼히 진료 보셔서 대기시간이 꽤 길어요. 어지러움증이 심해서 방문했는데 이석증 진단검사 받고 바료 치료해주셨어요. 울렁증에 어지럼증 심했는데 바로 좋아졌어요. 쌤 명의세요^^
5,꼼꼼히 봐주시고 만족해요 
5,여기 의사선생님 정말 진료 잘 봐주시고 친절하게 눈높이맞춰서 설명해주세요
5,"8월 말에 백신1차맞으러갔는데 스트리트파이터 반팔을 입고 있었어서 의사선생님이 그걸 보시고 주캐릭 뭐냐고 아는척해주시길래 뭔가 기분 좋았는데, 2차맞으러왔을때 로비에서 웬 드뷔시 프렐류드 불꽃이 나오고있어서 아니 이곡이 병원에서 나온다고...? 싶어서 너무 신기해서 기분이 좋았습니다. 클라이막스 부분에서 어택을 강하게 하지 않고 하강하는 연주를 개인적으로 ..."
5,Good doctor. Right diagnosis and very good english!!
3,의사선생님은 친절한데 간호사 완전 불친절
5,의사쌤 너무 친절해써염
1,별로입니다
5,"물도 못 삼킬 정도로 목이 아파서 갔는데, 너무너무 친절하셔요. 치료도 너무 깔끔하게 해주셨고, 한 번만 먹어도 바로 호전되실 수 있게 약 처방해주시겠다 했는데, 그 전까지 어떤 약을 써도 낫질 않았던 목이 바로 많이 괜찮아졌습니다."
1,"평이 왜 다 좋은 것인지 정말 이해가 안됩니다. 진단을 제대로 내리지 못하시고 이랬다 저랬다 하시구요, 환자가 호소하는 증상을 심각하게 생각 안 하고 ‘그럴 리 없다’라는 말을 하는 분입니다. 결국 다른 병원에 갔는데 여기서 진단받은 병이 아니라는 결론을 얻었습니다^^ 웬만하면 리뷰 안 남기는데 이 병원은 정말 다시는 가고 싶지 않습니다."
5,진짜 의사선생님 너무너무 친절하시고 설명도 너무 잘 해주세요... 이곳저곳 찾아보다 이곳 평보고 찾아왔는데 사람이 선하다는게 느껴집니당.. 감사합니다 :)
5,Best
5,"날림진료 때문에 병원 정착을 못하고 있었는데  여기 의사 선생님이 정말 진료 잘 봐주세요. 대기가 많을때도 있지만 진료 꼼꼼하고 세심하게 봐주시고 상담도 친절하세요.  전 감기 걸려도, 목아플때도 여기만 가요. 몸살이나 얼러지 처방도 추천해요.  링겔 이야기로 평이 안 좋은 후기가 있던데 전 링거 몇번 맞으니 심한 감기도 금방 낫더군요. 약도 과하지않게 필..."
5,의사선생님 정말 친절하고 설명도 상세히 해주십니다. 이석증으로 갔는데 귀 정말 잘보세요.
5,진짜 의사선생님 너무너무 친절하시고 설명도 너무 잘 해주세요... 이곳저곳 찾아보다 이곳 평보고 찾아왔는데 사람이 선하다는게 느껴집니당.. 감사합니다 :)
5,Best
5,"날림진료 때문에 병원 정착을 못하고 있었는데  여기 의사 선생님이 정말 진료 잘 봐주세요. 대기가 많을때도 있지만 진료 꼼꼼하고 세심하게 봐주시고 상담도 친절하세요.  전 감기 걸려도, 목아플때도 여기만 가요. 몸살이나 얼러지 처방도 추천해요.  링겔 이야기로 평이 안 좋은 후기가 있던데 전 링거 몇번 맞으니 심한 감기도 금방 낫더군요. 약도 과하지않게 필..."
5,의사선생님 정말 친절하고 설명도 상세히 해주십니다. 이석증으로 갔는데 귀 정말 잘보세요.
2,간호사 불친절.. 원래 가던곳 갈걸
5,"멋있으신분. 미국의사들처럼 환자가 부담스러울정도로 오랫동안 물어보시고, 최대한 증상을 말하는것을 끌어내기위해서 노력하심."
5,ㄹㅇ 개친절함 다 알려줌
5,단순 감기임에도 친절하고 상세한 설명 감동입니다. 처방해주신 약 한봉 먹었는데 콧물 쑥 들어가고 기침 딱 먹추는 기적을 경험했습니다. 명의십니다. 
5,매우 만족 의사선생님이 알기쉽게 설명해주시고 항생제 남용도 안하심 재방문 의사 매우높음
1,원장은 괜찮음. 간호사 한 명이 진짜 최악중 최악. 뭐가 잘나서 환자 그렇게 개무시하고 쏘아붙이는지? 다른 한 명이 불쌍해 죽겠음.
1,토요일 점심시간(1-2시)이 끝났음에도 30분을 기다렸는데도 아무도 오질않으시네요. 전화도 안받구요. 미리 공지도 붙여두질 않아서 저포함 다른 손님분들도 기다리다 돌아가셨습니다. 기본적인 부분인데 조금 아쉽네요.
1,리뷰 왤케좋 음?쌉 싸가지없음 편도결석환자보고 어머이게뭐야! 라고 하는곳. 창피주는것도아니고 참나
5,다른병원에서 성대결절 진단 받아서  아닌거 같아서 추천받아서 병원간건데 살면서 의사랑 이렇게 꼼꼼하고 오래 이야기한거 처음이네요! 알고보니 성대결절은 아니고 다른 역류성 식도염이라더라구요! 세세히 비교해서 알러주셔서 너무 좋았습니다! 앞으로 여기 병원으로 다닐꺼 같아요’
5,다른 병원에서 그냥 감기몸살이라 했지만 이곳에서 유일하게 꼼꼼히 진료해주셔서 대상포진인걸 알았어요. 이 병이 왜 걸리는거며 어떻게 치료하는지도 정말 하나하나 자세히 알려주셨답니다 덕분에 금방 치료해서 나을 수 있었어요 제가 아는 홍대 근처 최고의 이비인후과입니다!
1,별하나도 아까워요 의사 놀면서 환자 띄엄띄엄 들어오게 해서 40분 넘게 기다리다 겨우 진료받았는데 다른증상 없이 목만 이상해서 알러지 아니냐고 물었는데 별다른 진료없이 대뜸 감기로 판정 설연휴내내 독한 약에 잠도 설칠정도 였는데 정작 낫질 않아서 오늘 원래다니던 병원갔는데 비염+ 알러지로 인한 천식이라고 하네요;;; 감기 아니라고.....! 다신 안가요! ...
5,의사선생님께서 완전친절하시고 좋았습니다
5,친절하고 꼼꼼하게 봐주세요! 막 빨리 공장처럼 약 찍어내지 않으시구 시간 여유롭게 충분히 문진을 해주시는게 좋았습니다
5,선생님 넘 친절하고 좋으세용~ ^___^
1,아파서 진료좀 보러갔더니 코세척기만 팔아먹고 아무 조취도 안해주네요 다른병원가니까 잘해주네요 돈독오른듯 모르겠으면 그냥 진료를 보지를 마세요
1,정말 최악임. 환자도 없는데 그냥 대기시키네요. 물어봐도 언제된다 말도 없습니다. 
5,"평소 증상이나 주의사항에 대해 좀 더 주의깊게 묻는다고 생각하는 편인데, 귀찮아하는 태도로 짧게 말하고 끝내곤 하는 의원과 다르게 하나 하나 세세하고 쉽게 짚어주시고 차이점도 비교해주시며 하나라도 더 알려주시려고 하는 원장님의 성의에 감동받았습니다! 첫 방문이고 자주 갈 순 없는 입장이지만, 주변에 많이 알릴 계획입니다!"
5,"Best doctor, affordable price, speaks english close to hongdae Main Street "
5,선생님 넘 친절하고 좋으세용~ ^___^
1,아파서 진료좀 보러갔더니 코세척기만 팔아먹고 아무 조취도 안해주네요 다른병원가니까 잘해주네요 돈독오른듯 모르겠으면 그냥 진료를 보지를 마세요
1,정말 최악임. 환자도 없는데 그냥 대기시키네요. 물어봐도 언제된다 말도 없습니다. 
5,"평소 증상이나 주의사항에 대해 좀 더 주의깊게 묻는다고 생각하는 편인데, 귀찮아하는 태도로 짧게 말하고 끝내곤 하는 의원과 다르게 하나 하나 세세하고 쉽게 짚어주시고 차이점도 비교해주시며 하나라도 더 알려주시려고 하는 원장님의 성의에 감동받았습니다! 첫 방문이고 자주 갈 순 없는 입장이지만, 주변에 많이 알릴 계획입니다!"
5,"Best doctor, affordable price, speaks english close to hongdae Main Street "
5,"나는 여기 괜찮았음. 정말 필요한 치료만 하심. 의사가 혼자서 다하니, 사람 많을떄는 딜레이나 힘든것은 인정~"
5,"아래평이 안좋게보신분은 제 경험으로 보아서는 1인병원이셔서 바쁘셔서 그러셨던것같아요. 진료, 접수, 계산 까지 다하십니다. 실제로 가시면 엄청 친절하게 잘하시고 혼자 하시면서 천천히 환자에 집중하시면서 진료 보세요 아주 만족합니다. 비염치료하면서 눈물 안흘린적 없었는데 이곳처럼 안아픈적 처음입니다 가보시면 아주 만족하실듯해요 전화 받는건 혼자라서 힘들어서 ..."
1,ㅋ 아래분이랑 똑같음ㅋ 전화하다는데 본인 할말만 하고 끊어버림. 어이가 없어서.. 가는중에 다른 이비인후과로 진로변경함.
1,전화로 코로나 약처방 때문에 전화 걸었다고 했더니 약처방까지만 듣고 전화 끊어버리네요. 바쁘실 수 있는데 이건 아닌 것 같네요.
5,우리동네에 있다는게 감사한 병원
5,긴 말은 다른 분들이 다 해주셔서 짧게 남기자면 진짜 명의입니다. 
5,"뭐지,, 후기 보고 반신반의하면서 갔는데 진짜 입구 보고 도망갈뻔ㅋㅋㅋ 했는데 후기가 너무 신기해서 접수 했어요. 원장님 혼자서 접수 진료 다 보고 계셔서 더 의아했는데 손도 빠르시고 궁금한거 다 일일이 대답해주시고 몰랐던 부분까지 정확하게 진단 내려주셔서 신뢰감 상승..ㅎㅎ 무엇보다 말투가 너무 친절하세요. 목감기인줄 알았더니 코가 더 심하다고 하셨는데 ..."
5,카카오맵에 후기 처음 남겨봐요. 과잉 진료 절대 없고 진짜 친절하세요. 주사 두대까지 맞았는데 오천원 나왔어요..  진짜 병원 갈 일 있으면 여기만 옵니다.
5,"신식의 세련된 건물은 아니다, 그럼에도 리뷰가 이렇게 좋은 이유 확실히 있더라. 1인병원이라 두줄로 늘어선 환자속에 바쁨에도 불구하고 친절하고 자상하시다.  오랜 경력으로 환자말무시하고 듣지않는 몇몇 의사분들과 대조되는 경청해주시는 모습에 마음도 치료 받은 것 같다. 무조건 리뷰 쓸 생각으로 영수증 받아왔다.  방역복에 고글에 장갑까지 챙겨 입은 개인병원 ..."
5,"오늘 들렀는데요 진짜 후기 그대로입니다 과장 1도 없고요, 1인 병원은 처음인데 깔끔하고 음악도 좋고 무엇보다 정확한 진료와 친절함 병원비까지..무엇하나 흠 잡을데 없이 정말 만족스럽습니다.  후기 원래는 안남기는데 여기는 정말 감동이네요, 강력 추천합니다!!  의사 선생님 감사합니다 서울와서 가장 마음에 들고 좋은 병원이네요!"
5,외관이 허름해서 문이 열려 있나 싶을 정도였는데… 외부야 허름해도 속이 참 따듯합니다. 
5,신속하고 친절하게 진료해주심. 과잉 진료도 없고 좋습니다.
5,친절하심
5,후기는 못보고 갔는데 후기를 남기고 싶어서 찾아보니 다들 이미 남기러 오셨네용ㅋㅋㅋㅋ 너무 친절하시고 과잉진료 없다는 말에 적극 공감합니다! 감기가 심해서 주사 맞았는데 5천원도 안나왔어요
5,타지에서 사는데 급하게 찾았는데 원장님이 너무 친절하시고 무엇보다 별점이 이렇게 높은게 이해가 되네요
5,레전드.
5,진짜 평이 왜 이렇게 좋은지 알겠습니다 기침으로 한달간 고생 중이었는데 다른 병원에서는 무슨 알레르기라고 하고 지어준 약은 하나도 효과없었어요ㅠ 근데 여기 오자마자 약 먹고 바로 나았습니다!!! 얘기도 잘들어주시고 친절하세요. 다른 댓글대로 혼자 하시는 병원인 것 같아요. 외관이 좀 허름해도 효과가 바로 나타나니까 이제 여기로만 다니려구요ㅠ  다만 약이 병...
5,다른 병원가면 사나흘 약 먹어야 떨어지는데 여기는 좀 독하게 지어주시긴 하지만 바로 효과가 나타나요 엄청 빠르고 정확하게 진료해주십니다 후기보고 갔는데 찐 명의 맞네요 진짜!!
5,"모두 5점이라 첨엔 반신반의 했는데, 다녀오니 이 평점이 맞습니다."
5,왜 평이좋은지알겠어요  코감기가온거같아서 이비인후과찾다가 평이좋아서 갔는데 허름한외관이었지만  제가봣던의사분들중에 제일친절하셧어요!! 접수도혼자하시고 주사도직접놔주셧는데  친절하셔서 너무나신뢰가....하하또아프긴싫지만  이비인후과는 여기로 가야겠어요
5,이비인후과 달고 사는데 이 동네 단골 이비인후과를 못 찾아서 5군데 돌아다닌 결과 이곳만 다님
1,아직 가보진않았지만.가보려구 전화로 진료하냐물어보고 위치 물어보려는데 일방적으로 뚝 끊어버리네..배가불렀네..안가봐도 비디오...병원이.친절보다는 병이빨리낳느냐가ㅡ중요한게아닌가...그런말은없고..무슨..아휴.댓글도좀 도움될만한걸 올려 
5,진짜 진짜 꼼꼼하게 봐주시고 다른 병원 저리가라하게 자세히 설명해 주셨어요!! 이런 병원 처음이고 1인병원인 듯??
5,최고
5,왜 평이좋은지알겠어요  코감기가온거같아서 이비인후과찾다가 평이좋아서 갔는데 허름한외관이었지만  제가봣던의사분들중에 제일친절하셧어요!! 접수도혼자하시고 주사도직접놔주셧는데  친절하셔서 너무나신뢰가....하하또아프긴싫지만  이비인후과는 여기로 가야겠어요
5,이비인후과 달고 사는데 이 동네 단골 이비인후과를 못 찾아서 5군데 돌아다닌 결과 이곳만 다님
1,아직 가보진않았지만.가보려구 전화로 진료하냐물어보고 위치 물어보려는데 일방적으로 뚝 끊어버리네..배가불렀네..안가봐도 비디오...병원이.친절보다는 병이빨리낳느냐가ㅡ중요한게아닌가...그런말은없고..무슨..아휴.댓글도좀 도움될만한걸 올려 
5,진짜 진짜 꼼꼼하게 봐주시고 다른 병원 저리가라하게 자세히 설명해 주셨어요!! 이런 병원 처음이고 1인병원인 듯??
5,최고
5,레전드.
5,진짜 평이 왜 이렇게 좋은지 알겠습니다 기침으로 한달간 고생 중이었는데 다른 병원에서는 무슨 알레르기라고 하고 지어준 약은 하나도 효과없었어요ㅠ 근데 여기 오자마자 약 먹고 바로 나았습니다!!! 얘기도 잘들어주시고 친절하세요. 다른 댓글대로 혼자 하시는 병원인 것 같아요. 외관이 좀 허름해도 효과가 바로 나타나니까 이제 여기로만 다니려구요ㅠ  다만 약이 병...
