,댓글
524,"어른이 되었어도 무서운 생각이 드는 치과인데, 떼운 보철이 떨어져 시린이로 치괄 찾았습니다. ㅎㅎ 친철하고 깨끗하다는 리뷰를 보았는데, 정말 누굴 
콕 집어 말할 수 없을 정도로  모두 친절하시고, 환자의 맘을 편안하게 해주셨어요. 특히나 진료를 해주신 김국현 원장님께서 꼼꼼하게 치료해주시고, 
더불어 세세한 설명으로 치아에 대한 궁금증도 풀었답니다.  그리고.치료 중 갑자기 이가 시릴때 센스있게 팔에 손을 얻어 잡아주신 간호사 선생..."
525,"21개월 영검받으러 왔는데 친절하게 잘 해주셨어요  치과 영검은 처음이라 타 치과와 비교는 안되지만, 의사선생님, 간호사선생님 모두 아기를 대하는 
모습이 좋았습니다. 말투도 좋으시고 칭찬도 많이 해주시면서 잘 봐주셨어요 "
526,충치치료를 위해 예약 방문했는데 직원분들  모두 친절하시고 치료도 잘 해주셨어요. 이번주 내에 치료를 마쳐야 하는 사정이 있었는데 그 상황에 맞춰서 예약 잡아주시고 치료 내용도 친절하게 설명해주셔서 감사했습니다. 인터넷 검색해서 간 곳인데 만족해서 리뷰 남깁니다. 저처럼 치과 가야하는데 주변에 잘 아는 치과가 없으신 분들 한번 가보셔도 좋을 것 같아요.
527,5세 아이 영유아구강검진 하러 방문 했는데 친절하고 좋았어요 ^^ 다니던 소아과와 같은 건물이라 가기 편하고 선생님도 아이가 겁먹지 않게 잘 진료 해주셨어요. 어린이들이 치료받을수 있는 공간이 예쁘게 따로 꾸며져 있어서 좋았습니다.
528,"치과진료를 이렇게나 마음 편하게 누리게 해주는 병원이 또 있을까 싶습니다. 네살 아이와 남편의 진료때문에 기다리느라 병원을 세세히 관찰하듯이 
들여다보게 되었는데 정말 의사선생님과 직원분들의 친절함은 기본이고 대기부터 진료 결재까지 병원을 이용하는 내내 이 병원 참~~좋다를 연발했네
요~서로의 손발이 잘 맞는다고 할까요? 만족도 별 다섯개 더 주고 싶은데 겨우 다섯개 뿐이네요 ㅎㅎ 병원 분위기가 좋으니 그대로 전달되어 편..."
529,깨끗하고 친절하셨어요
530,친절하시구 청결하구 앞으로 계속 다니고 싶은 마음입니다👍🏻
531,원장님과 선생님들 정말 친절하시고 자세히 잘 설명해주셔서 좋았어요~ 덕분에 치료도 잘받을수 있을거 같아요^^ 앞으로 치료도 잘 부탁드려요~ㅎ
532,"첫째 발치하러갔는데 하나도 아프지않다고 울지도 않고 씩씩하게 있었어요.발치할때 마취크림도 발라주셔서 더 아프지않았나봐요. 인테리어도 예쁘고
깨끗하지만 직원분들도 모두 친절하시고 원장선생님도 아이한테 정말 친절하게 이야기해주세요. 그래서 치과 무서워하던 아이가 변했어요. 어린이치
과가 아니지만 구별되는 공간있어요. 가격도 착하답니다^^"
533,시설도 넓고 쾌적하고 꼼꼼하고 친절하게 진료 봐주셔서 좋았습니다
534,병원 깔끔하고 친절합니다.
535,"선생님들모두친절하세요~오랜만에치과에가서스케일링도받고 충치치료도해서 좀오래있었는데 모든분들이친절하셨어요:) 저는김국현원장선생님한테 치료받았는데설명도잘해주고치료도꼼꼼히해주셨어요.병원도넘깨끗하고이뻐요~
치과유목민정착했습니다! 감사합니다!!"
536,쾌적하고 넓은 공간에 친절하신 원장님과 직원분들 덕분에 치과치료 잘 받고 왔습니다. 설명을 꼼꼼하게 잘해주셔서 신뢰가 갑니다. 내일은 아들진료가 있는데 소아 진료실이 따로 있고 아이들이 좋아할만한 공간으로 꾸며주셔서 크게 무서워하지 않을 것 같아요^^
537,간호사분들도 친절하시고 원장님 설명도 잘해주시고 친절하시고 치료도 엄청 꼼꼼하게잘해주십니다 👍
538,차근차근 설명해주셔서 좋았고 꼼꼼하실 것 같아서 기대됩니다.
539,서비스대만족입니다~~친절하고또친절하고아이가무섭지않도록 애기다루듯이 너무친절하신분들덕에 겁많은우리딸 다음에또갈수있다네요~~^^
540,신랑이 옮긴 치과로 엄마 추천 드려서 가보시라고 했는데 친절하시고 꼼꼼하시다고 좋아하셔요. 임플란트 예약 하셨다하는데 잘 부탁드립니다 :-)
541,"클라리티치과~자동문이 열림과 동시에 환히게맞아주시는 의료진들의 미소에 긴장했던마음이 살짝 편안해졌네요~^^ 전체적으로 넓고 깔끔한 분위기
에 잔잔한 음악이 흐르는 이곳은 마치 어느 멋진 겔러리를 연상하게하네요~ 따로 파우더룸이 마련되어있어 진료전 부끄러움을 조금이나마 덜수 있었
답니다. 지하주차공간도 넓고 여유 있어서 앞으로 치료하러오기 편안할듯 합니다. 작은 것 하나까지 세세하게 신경써주시는 배려에 치과겁쟁이..."
542,4살 남자아이 치료하러갔어요 ㅎ 모두 너무 친철하시구 시설도 넘나좋앗어용 ㅎ 감사합니다😊
543,"방문예약을 7시반이였지만, 배려해주신 덕분에 더 빠른시간에 치료를 할수있었어요. 데스크분이 너무 친절하시고 질문하나하나에 배려가 느껴져서 기
분좋은 서비스를 받고온거같아요. 깔끔한건물에 세련된 서비스 까지 감사합니다."
544,"의사도 간호사도 모두 친절하게 잘해주셔서
36개월 아이 이청소도하고 불소도포도
잘하고왔어요 다음에 또올게요 감사합니다"
545,"궁금한사항 너무 친절히 잘가르쳐 주시네요ㅎㅎ 

직원분들 원장님도 인상도 좋고 너무 친절하세요 다음에 또 내원 하겠습니다^^"
546,"병원 시설도 깔끔하고 의사선생님, 간호사분들도 너무 친절해요!! 직장생활때문에 타지에서 치과 처음와보는데 매우 만족합니다!!"
547,처음방문하고 너무마음에 들어서 계속 다니고있습니다. 간호사분들도 너무친절하시구 의사선생님도 너무친절하시네요
548,타치과 다니다가 너무 불친절하고 예약잡기도 어려워서 클라리티치과 예약해봤는데 너무 깨끗하고 친절하셔서 좋았어요!
549,"주변에서 추천해준 병원들은 너무 멀고 집주변 검색하다보니 예약하게되었어요 누룽지먹다가 이가 부러져서 간거였는데,,제가 다음주에 출국을해야해
서 10/14일부터 약3주간 급한 것부터 크라운,충치 치료 받았는데 대만족이에요!!  일단 입구부터 갈때까지 전직원분들이 친절하세요 상냥하십니다 제
일 좋았던 부분은 직원분들이 이건 어떤부분에서 얼마이고 이런재료를 사용하고 하나하나 세세하게 알려주셔서 좋았어요  그리고 저는 김준엽..."
550,"새로 생긴 병원이라 당연 깨끗, 깔끔한데다...영화에서나 볼 법한 영상촬영?기기! 이 사이가 조금 신경쓰여 갔더니 꼼꼼하게 봐주시고, 추가 치료 없이 
조심히 잘 쓰면 된다고 친절하게 이야기 해줘서 안심안심 했습니다~~ 생각지도 않게 치아 전체 봐 주셔서 조심해야 될 곳들도 추가로 안내받고... 오랜 
흡연으로 변색된 치아를...예전처럼 하얗게 만들어주시는...그 어려운 걸 해내셨네요ㅋㅋ 극찮이 아깝지 않습니다~~ 빨리 소문 좀 많이 났으면 하..."
551,"의사선생님 직원분들 모두 친절하시고 꼼꼼히 진료해주셔서 감사했어요:) 타 치과에서 사랑니 수술하고 실밥만 뽑으러 간 거였는데아프지 않게 잘 뽑아주시면서 치아도 한 번 살펴봐주시면서 이야기해주셔서 좋았습니다
기존에 다니던 치과는 예약이 어려워 힘들었는데 네이버예약으로 해서 너무너무 편했어요 다음에 또 방문하겠습니다!"
552,"여러번 방문했는데 이제서야 리뷰를 남기게 됐네요. 내원할 때마다 느끼는 거지만 친절함과, 치과의 깨끗함이 무척 맘에 듭니다. 
그리고 원장님과 선생님들도 최대한 편안하게 진료를 받을 수 있게 도와주신다는 생각을 많이 했습니다. 두려운 임플란트 수술을 잘 받을 수 있게 해줘서 감사드리고 환자를 우선으로 생각하는 부분이 좋았던 것 같습니다. 앞으로 여러번 내원해야 하지만 불편함 없이 치료를 끝낼 수 있을 것 같습니다."
553,"아이 치아가 아프다고 하여 방문했어요~ 
친절하시고 꼼꼼하게 봐주셔서 
아이도 겁먹지 않고 검진 잘 받았어요~"
554,"아기 첫 구강검진차 갔다왔는데   시설도 깨끗하고 직원분들도  너무 친절하시고 무엇보다 선생님께서 차분하게 아이에게 잘 대해주셔서  울지 않고 검
사 잘 마치고 왔네요~ 치실 사용법도 알려주시고  구매해 온  치실로 거부감없이 사용하고 있어요. 이제 아기 치과는 걱정없이 다닐 수 있겠어요. 강.추! 
!^^"
555,"카운터언니도,안내해준 언니도, 친절하고 자상한 선생님 덕분에5세아이 영유아검진 성공적으로했어요!
인테리어도 너무 깔끔하고 이뻐서 한번 더 반했답니다ㅎㅎ"
556,"치과는 나에겐 그리 즐겁지만은 않은, 미루고 또 미뤄두었던 숙제와 같은 곳이었다. 소개로 가게 된 이곳 클라리티 치과를 방문하는 일 역시나 쉽지만은
않은 결정이었다.  하지만 입구에서부터 친절히 안내해주시는 분들 덕에 조금은 두려운 마음을 안정시킬 수 있었다.  치료를 담당해주신 의사선생님 역
시 무척이나 친절하셨다. 하지만 의사는 전문성이 우선이어야할텐데 혹시 친절로 현혹시키는건 아닐까 하는 의구심은 선생님과 상담하며  무지..."
557,"15개월 아기가 순소대가 찢어져서 방문했는데 너무 친절하시고 아가 울지않게 진료도 잘 봐주셨어요! 봉키 병원을 다니고 있더터라 새로생긴 치과가 
생각이나서 방문해봤습니다. 아기들전용 치료실이 따로있어서 뽀로로 티비도 나오고 있고 대기실에도 아가들이 좋아하는 인형이나 책들이 있어서 너
무 좋았습니다. *소아치과 진료도 가능햐서  정말 만족스럽습니다! 향후 어떻게 치아 관리를 해야하는지 설명해주시고 아가 울지않게 잘 진료해..."
558,주차하기도 편하고.. 시설도 넓고 깨끗해요. 선생님도 친절하시고 아이가 진정할 수 있도록 기다려주시고 충분히 설명해주셔서 좋았습니다~
559,매우 친절하시고 궁금한 점에 대해 자세히 설명해주셨어요. 치료 과정과 결과도 만족스러웠습니다. 부담없이 안심하고 재방문해도 될 것 같습니다.^^
560,처음 방문했는데 직원분들 너무 친절하시고 의사선생님이 너므친절하셔서 5살 남자아기 너무 편안하게 진료보고 왔어요. 깨끗하고 시설도 너무 좋아요
561,깔끔하고 좋네요. 급해서 양치를 못하고 갔는데 양치하는 곳이 잘 되어있어서 좋았습니다.
562,"치과가 정말 깨끗하고 모든 분들이 친절하세여.. 스케일링 예약하면서 턱관절 상담도 받았는데 치료방법 종류별로 상세하게 설명해주시고, 평소에 주
의해야할 습관이랑 턱에 좋은 마사지같이 일상생활에서 할 수 있는 일들도 같이 알려주셔서 좋았어요. 스케일링도 엄청 꼼꼼하게 해주시고.. 좋은 치과 
찾아서 기부니 좋아여 다음 예약도 잡앗어용"
563,충치치료때문에 내원했는데 진료해주신 김준엽 원장님과 직원분들 모두 정말 친절하셨습니다~치료전에 정말 자세하게 상담해주시고 치료중에도 어떤 치료를 하고있는지 계속 말씀해주셔서 안심하고 진료 받을 수 있었습니다ㅎㅎ 지금까지 가봤던 치과 중 가장 믿음이 가고 친절함에 기분까지 좋아지는 치과였습니다! 좋은 진료 감사합니다~~
564,"친절하게 해주셔서 아프지 않게 치료 잘 받았습니다
앞으로 계속 올 것 같아요!"
565,"보통 치과에 가면 입만 아~하고 끝나는 진료가 아쉬웠는데 이곳은 의사선생님께서 환자의 의견, 질문도 잘 들어주시고 답변도 친절하게 해주셔서 진료에 있어서 꼼꼼하게 봐주신다는 생각이 들었어요. 의사선생님의 진료는 매우 만족합니다. 환자로서 갖게되는 궁금증에 대하여 다시금 성실히 답변 해주심에 감사드립니다."
566,우선 치과 내부가 넓고 쾌적하고 인테리어가 너무 예뻐서 놀랐어요 ! 들어가자마자 환한 미소로 맞이해주시고 원장선생님과 위생사 선생님께서도 친절하고 꼼꼼하게 진료 봐주셔서 정말 좋았습니다 😊! 그리고 근처 버스정류장이나 지하철역 어디서 내리던 2~3분이면 갈 수 있어서 교통편도 정말 좋았던 것 같아요 ㅎㅎ
567,"집&직장과 가까워서 클라리티치과를 예약하고 방문했습니다  일단 너무 깨끗한 병원덕분에 기분까지 좋더라구요 사실 네이버 예약은 이번이 처음이지
만 세번정도 방문을 했었는데요 그때마다 너무 친절하셔서 감동을 받았지요  늦은나이에 교정을 하려니 걱정되는 부분도 걸리는 부분도 많았는데 의사
쌤 상담쌤 모두 자세하게 잘 설명해주셔서 안심하고 결정할수 있었어요 다시한번 감사드립니다  교정하기위해 사진도 찍고 틀도 만들었는데 실..."
568,다들 너무 친절하시구 좋아요! 저희 엄마랑 같이 방문했는데 둘 다 만족하고 또 방문하기로 했어요 치과도 깔끔하고 너무 예뻐요~^^
569,새로 생겨서 그런지 매우 깔끔하고 좋았어요! 모두 친절하시고 아이들 무섭지않게 잘해주셔서 무서운 분위기없이 편안하게 치료 잘 받았습니다^^ 감사합니다💕
570,너무 친절해서 방문할때마다 기분이 좋아지는 치과^^ㅎ
571,처음 방문했는데 너무 친철하고 의사선생님 성의있게 진료해주셔서 감동...진료끝나고 앞으로 치료부분 및 비용 상담까지 두번째 감동 받았네요. 치과는 한번 결정하면 오래다녀야 하는데 집에서 거리가 있지만 계속 다닐 예정입니당ㅋ
572,아이 치아 상담도 친절히 해주시고 시설도 깨끗하고 좋아요.
573,"직장이랑 가까워서 갔는데 넘 만족했습니다
어느부분이 어떻다는걸 자세히 알려주셔서 넘 감사했어요~^^*
담에 또 방문할게요**"
574,"처음접수하며 첫인상이 진하게남는 데스크 선생님들 부터 어찌나친절하신지 접수하면서 부터 맘에들었구요~ 일단 아이가 무섭지않게 급하지않게 차
근차근 설명해주시고 진료해주시는 선생님보며 마음이 편했습니다~ 아이가 이치료에 트라우마 생기지않도록 해주시는거같았어요~~ 두번방문해 진료
했는데 아이가 안간다고 안했습니다~ㅎㅎ 별다섯개!!!!! 시설도 깨끗하고 진료는 말할것없구 친절하기까지하니 만족도 높습니다^^ 참,어른진료..."
575,"의사쌤이랑 간호사분들이 친절하게 대해주시고 아이가 겁먹지않게 다독여주셔서 아이가 편하게 진료받았어요~치과진료는 소리가무섭잖아요 그런데도 얌전히 잘 치료받는게 신기해서 사진까지 찍었네요ㅎㅎ과잉진료도 없고 필요한치료만 하시는거같아 더믿음이 가더라구요~ 
정말 기분좋게 진료받고 왔습니다"
576,"병원내부도 엄청 깔끔하고
직원,원장님 모두 친절하세요."
577,치과 전체적인 인테리어도 깔끔하고 조용해서 좋았습니다 또 궁금한 점도 친절하게 알려주셔서 너무 좋았어요! 치과 갈 일 있으면 앞으로 이 곳만 다닐 것 같습니당ʕ•ᴥ•ʔ
578,남녀노소 치과라면 가기 두려운데 클라리티 치과는 첫 방문할 때부터 깨끗한 병원이미지와 편안하게 환자를 대해주시는 의료진 덕분에 첫인상이 너무 좋네요. 아프지않으면 제일 좋겠지만 아는 분들께 적극 소개드리고 싶은 치과입니다!
579,"턱관절이랑 교정문의 때문에 방문했는데 원장님, 의사선생님, 상담실장님 모두 친절하게 상담해주셨습니다. 치과 깨끗하고 넓고, 화장실도 좋아요bb 
중구에서 왔는데 지하철역 근처에 있어서 교통이 편리해서 좋아요"
580,친절한 원장님한테서 좋은 치료 받고 돌아갑니다. 주변에 치과 간다는 친구 있으면 추천 꾸욱 드립니다. 다음 정기검진때 다시 들리겠습니다
581,직원분들 다 친절하시네요. 시설 깨끗하고 좋아요.
582,"엘리베이터 내려서 치과를 헤매지 않고 바로 들어가니 좋았습니다. 대기실내 선생님들께서도 정말 친절하신것 같고요~
치과 오는게 자주 있는 일이 아니고 일례적인 일인데, 정기적인 검진 내용의 말씀 너무 감사합니다."
583,오늘 방문하였는데 일단 병원분위기가 너무 쾌적하고요. 마음이 편안해지는 기분이었습니다. 다들 친절하셔서 더욱 좋았습니다. 그리고 환자입장에서 필요한 부분을 가감없이 말씀해주시고 딱 정직한진료만 하시는것 같아서 더 부담이 없었습니다. 치과를 선정하는데에 많이 신경썻엇는데 믿고 진료를 맡길수 있는 치과인거 같습니다.
584,"유성온천역에서 멀지 않아서 이용하기가 편리했고 개원한지 얼마 안된 치과라서 넓고 무척 깨끗했어요. 모든 선생님들이 친절하셨고 원장선생님께도 
궁금한게 있어서 이것저것 물어봤는데 귀찮아하지 않으시고 친절하게 대답해 주셔서 너무 감사했어요. 과잉진료도 없는 것 같고 내 치아상태가 어떤지
어떤 치료가 필요한지 꼼꼼하게 체크해 주셔서 좋았어요. 치과에 대한 좋지 않은 기억들이 많은데 이곳에선 불편함 없이 편한 분위기에서 진료 ..."
585,"잇몸치료 때문에 찾았는데, 간호사분들도 친절하고, 김준엽원장께서 꼼꼼히 봐주셔서 믿음이 갑니다."
